"Year","SASAP.Region","city","lat","lng","total","speak_only_english","german","yiddish","greek","indic","italian","french_or_french_creole","portuguese_or_portuguese_creole","spanish_or_spanish_creole","polish","russian","south_slavic","arabic","tagalog","chinese","hungarian","japanese","korean","vietnamese","other_and_unspecified_languages","french_incl_patois_cajun","french_creole","other_west_germanic_languages","scandinavian_languages","serbo_croatian","other_slavic_languages","armenian","persian","gujarati","hindi","urdu","other_indic_languages","other_indo_european_languages","mon_khmer_cambodian","hmong","thai","laotian","other_asian_languages","other_pacific_island_languages","navajo","other_native_north_american_languages","hebrew","african_languages","data_file_year"
1990,"Alaska Peninsula and Aleutian Islands","Adak Station",NA,NA,4633,3630,8,0,7,0,3,34,2,141,0,8,0,0,140,4,0,10,9,0,34,NA,NA,0,4,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,8,NA,NA,"1990"
1990,"Kodiak","Akhiok",56.9455556,-154.1702778,77,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,5,NA,NA,"1990"
1990,"Kuskokwim","Akiachak",60.9094444,-161.4313889,481,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,362,NA,NA,"1990"
1990,"Kuskokwim","Akiak",60.9122222,-161.2138889,285,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,187,NA,NA,"1990"
1990,"Alaska Peninsula and Aleutian Islands","Akutan",54.1355556,-165.7730556,589,250,8,0,0,0,4,0,0,51,31,0,0,0,188,4,0,4,13,8,26,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,7,NA,NA,"1990"
1990,"Yukon","Alakanuk",62.6888889,-164.6152778,544,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,341,NA,NA,"1990"
1990,"Yukon","Alcan",62.7230556,-141.1880556,27,15,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Bristol Bay","Aleknagik",59.2730556,-158.6177778,185,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,99,NA,NA,"1990"
1990,"Yukon","Allakaket",66.5655556,-152.6455556,170,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,81,NA,NA,"1990"
1990,"Kotzebue","Ambler",67.0861111,-157.8513889,311,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,183,NA,NA,"1990"
1990,"Alaska Peninsula and Aleutian Islands","Amchitka",51.5672222,178.8775,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Arctic","Anaktuvuk Pass",68.1433333,-151.7358333,259,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,117,NA,NA,"1990"
1990,"Cook Inlet","Anchorage",61.2180556,-149.9002778,226338,185065,1632,0,115,196,120,976,102,5371,239,167,77,126,2168,410,53,1057,2572,71,1378,NA,NA,116,339,NA,110,NA,NA,NA,NA,NA,NA,349,56,NA,NA,NA,NA,NA,NA,2143,NA,NA,"1990"
1990,"Cook Inlet","Anchor Point",59.7766667,-151.8313889,866,740,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,10,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Yukon","Anderson",64.3441667,-149.1869444,628,501,7,0,19,0,21,7,0,29,0,0,0,0,0,0,0,3,0,0,0,NA,NA,0,3,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Southeast","Angoon",57.5033333,-134.5838889,638,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61,NA,NA,"1990"
1990,"Kuskokwim","Aniak",61.5783333,-159.5222222,540,372,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2,0,0,7,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,75,NA,NA,"1990"
1990,"Southeast","Annette",55.0616667,-131.5416667,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Yukon","Anvik",62.6561111,-160.2066667,82,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,19,NA,NA,"1990"
1990,"Yukon","Arctic Village",68.1269444,-145.5377778,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,41,NA,NA,"1990"
1990,"Alaska Peninsula and Aleutian Islands","Atka",52.1961111,-174.2005556,73,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,NA,NA,"1990"
1990,"Kuskokwim","Atmautluak",60.8669444,-162.2730556,258,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,225,NA,NA,"1990"
1990,"Arctic","Atqasuk",70.4691667,-157.3994444,216,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,142,NA,NA,"1990"
1990,"Arctic","Barrow",71.2905556,-156.7886111,3469,1317,11,0,0,0,0,7,0,46,0,0,12,0,129,6,0,4,0,0,29,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1419,NA,NA,"1990"
1990,"Yukon","Beaver",66.3594444,-147.3963889,103,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,8,NA,NA,"1990"
1990,"Kuskokwim","Bethel",60.7922222,-161.7558333,4674,2429,12,2,10,0,0,4,0,44,5,0,10,0,7,4,0,5,37,0,2,NA,NA,0,4,NA,0,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1517,NA,NA,"1990"
1990,"Yukon","Bettles",66.9188889,-151.5161111,36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Yukon","Big Delta",64.1525,-145.8422222,400,342,2,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Cook Inlet","Big Lake",61.5213889,-149.9544444,1477,1335,21,0,0,0,0,7,0,2,0,0,0,0,0,0,0,5,0,0,0,NA,NA,16,2,NA,5,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,NA,NA,"1990"
1990,"Yukon","Birch Creek",66.2590355,-145.8190168,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,31,NA,NA,"1990"
1990,"Norton Sound","Brevig Mission",65.3347222,-166.4891667,198,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,113,NA,NA,"1990"
1990,"Kotzebue","Buckland",65.9797222,-161.1230556,318,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,72,NA,NA,"1990"
1990,"Cook Inlet","Butte",61.5422222,-149.0333333,2039,1759,0,0,0,0,0,19,0,18,6,0,0,0,0,0,0,8,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Yukon","Cantwell",63.3916667,-148.9508333,147,123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,12,NA,NA,"1990"
1990,"Yukon","Central",65.5725,-144.8030556,52,52,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"1990"
1990,"Yukon","Chalkyitsik",66.6544444,-143.7222222,90,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33,NA,NA,"1990"
